Tf,Tg,Tf_age,Tg_age
YOL067C,YLR053C,Eukaryota,Saccharomyces
YOL067C,YLR261C,Eukaryota,Saccharomyces
YOL067C,YLR262C,Eukaryota,Dikarya
YOL067C,YLR277C,Eukaryota,Ascomycota
YOL067C,YLR302C,Eukaryota,Saccharomyces
YOL067C,YLR304C,Eukaryota,Eukaryota
YOL067C,YLR397C,Eukaryota,> Eukaryota
YOL067C,YMR019W,Eukaryota,Saccharomyces
YOL067C,YMR098C,Eukaryota,> Eukaryota
YOL067C,YMR126C,Eukaryota,Ascomycota
YOL067C,YMR178W,Eukaryota,Fungi
YOL067C,YMR227C,Eukaryota,Dikarya
YOL067C,YMR228W,Eukaryota,Dikarya
YOL067C,YNL001W,Eukaryota,Fungi
YOL067C,YNL002C,Eukaryota,Saccharomyceta
YOL067C,YNL037C,Eukaryota,Ascomycota
YOL067C,YNR001C,Eukaryota,Dikarya
YOL067C,YNR049C,Eukaryota,Dikarya
YOL067C,YOL159C,Eukaryota,Saccharomyces
YOL067C,YOR136W,Eukaryota,Saccharomycetaceae
YOL067C,YPR155C,Eukaryota,Fungi
YOL067C,YPR198W,Eukaryota,Saccharomyces
YOL089C,YBL074C,Saccharomyceta,Saccharomyces
YOL089C,YCR096C,Saccharomyceta,Saccharomyceta
YOL089C,YCR097W,Saccharomyceta,Dikarya
YOL089C,YCR102C,Saccharomyceta,Ascomycota
YOL089C,YCR102WA,Saccharomyceta,
YOL089C,YCR104W,Saccharomyceta,Saccharomycetaceae
YOL089C,YCR108C,Saccharomyceta,Saccharomyces
YOL089C,YDL068W,Saccharomyceta,Saccharomyces
YOL089C,YDL071C,Saccharomyceta,Saccharomyces
YOL089C,YDR042C,Saccharomyceta,Saccharomyces
YOL089C,YDR084C,Saccharomyceta,Saccharomyceta
YOL089C,YDR098CA,Saccharomyceta,
YOL089C,YDR098CB,Saccharomyceta,
YOL089C,YDR099W,Saccharomyceta,Eukaryota
YOL089C,YEL001C,Saccharomyceta,Saccharomyces
YOL089C,YER001W,Saccharomyceta,Saccharomyces
YOL089C,YER048C,Saccharomyceta,Fungi
YOL089C,YER134C,Saccharomyceta,Ascomycota
YOL089C,YER135C,Saccharomyceta,Saccharomyces
YOL089C,YGL001C,Saccharomyceta,Ascomycota
YOL089C,YGL097W,Saccharomyceta,> Eukaryota
YOL089C,YGR071C,Saccharomyceta,Saccharomycetaceae
YOL089C,YGR072W,Saccharomyceta,Saccharomycetaceae
YOL089C,YGR218W,Saccharomyceta,Ascomycota
YOL089C,YGR271CA,Saccharomyceta,
YOL089C,YGR271W,Saccharomyceta,Eukaryota
