,TF,Target,Mode,PMID,TF_age,Tg_age
4170,Phox2b,Dbh,Activation,9798905,Eumetazoa,Eumetazoa
4171,Phox2b,Fos,Activation,10395798,Eumetazoa,Eumetazoa
4172,Phox2b,Gata2,Activation,15329349,Eumetazoa,
4173,Phox2b,Gata3,Activation,15329349,Eumetazoa,Eumetazoa
4174,Phox2b,Tlx2,Activation,16402914,Eumetazoa,Eumetazoa
4175,Pias1,Nkx2-2,Unknown,20711444,Eumetazoa,
4176,Pias2,Hoxb1,Activation,16675951,Eumetazoa,Eumetazoa
4177,Pias2,Nr3c1,Activation,11893729,Eukaryota,
4178,Pias3,Jak2,Repression,24486434,Eukaryota,Eumetazoa
4179,Pias3,Mitf,Repression,16368885,Eukaryota,Opisthokonta
4180,Pias3,Stat3,Repression,24486434,Eukaryota,Opisthokonta
4181,Pias4,Ccl20,Repression,20054338,Eukaryota,Eumetazoa
4182,Pitx1,Barx1,Activation,18082678,Eukaryota,Eumetazoa
4183,Pitx1,Fshb,Unknown,18339718,Eukaryota,Eumetazoa
4184,Pitx1,Lhb,Repression,22865884,Eukaryota,Vertebrata
4185,Pitx1,Tbx1,Activation,18082678,Eukaryota,Eumetazoa
4186,Pitx1,Tbx4,Activation,10049363,Eukaryota,Eumetazoa
4187,Pitx1,Tert,Repression,21300782,Eukaryota,Vertebrata
4188,Pitx2,Amelx,Unknown,23975681,Eukaryota,Vertebrata
4189,Pitx2,Bmp4,Activation,22701669,Eukaryota,Eumetazoa
4190,Pitx2,Depdc1b,Unknown,25704760,Eumetazoa,Vertebrata
4191,Pitx2,Dlx2,Activation,23349981,Eumetazoa,Vertebrata
4192,Pitx2,Dlx2,Unknown,21504905,Eumetazoa,Eumetazoa
4193,Pitx2,Foxj1,Activation,18723525,Eumetazoa,Vertebrata
4194,Pitx2,Fshb,Unknown,18339718,Eumetazoa,Eukaryota
4195,Pitx2,Gad1,Activation,11517269,Eumetazoa,Vertebrata
4196,Pitx2,Gata4,Activation,21389672,Eumetazoa,Eumetazoa
4197,Pitx2,Hesx1,Unknown,12692125,Eumetazoa,Eumetazoa
4198,Pitx2,Isl1,Activation,21389672,Eumetazoa,Eumetazoa
4199,Pitx2,Lef1,Activation,17785445;20816801,Eumetazoa,Eumetazoa
4200,Pitx2,Mef2c,Activation,21389672,Eumetazoa,Opisthokonta
4201,Pitx2,Mga,Activation,20129917,Eumetazoa,Vertebrata
4202,Pitx2,Myf5,Activation,21035439,Eumetazoa,Cellular_organisms
4203,Pitx2,Myod1,Activation,20978076;21035439,Eumetazoa,
4204,Pitx2,Nr5a1,Unknown,18417734,Eumetazoa,Vertebrata
4205,Pitx2,Plod1,Unknown,12692125,Eumetazoa,Eumetazoa
4206,Pitx2,Tbx1,Repression,20129917,Eumetazoa,Eumetazoa
