Symbol,GeneID
Epha7,13841
Irf9,16391
Zeb2,24136
Col2a1,12824
Cbfa2t3,12398
Postn,50706
Cacna1h,58226
Tyrobp,22177
Pmel,20431
Cd44,12505
St3gal5,20454
Epcam,17075
Gcgr,14527
Mxi1,17859
Zhx1,22770
Usf2,22282
Asah1,11886
Fasl,14103
Wwtr1,97064
Mlxipl,58805
Asxl1,228790
Hes6,55927
Tnfsf10,22035
Spic,20728
Cbl,12402
Socs3,12702
Npr1,18160
Itga6,16403
Ncmap,230822
Zfp263,74120
Foxf1,15227
Gch1,14528
Dgcr8,94223
Nr3c2,110784
Catsper1,225865
Siah1b,20438
Stat3,20848
Xbp1,22433
Lmo2,16909
Rhoa,11848
Wnt9a,216795
Amhr2,110542
Clec10a,17312
Id4,15904
Rcan1,54720
Stmn1,16765
Pitx1,18740
Atoh8,71093
Max,17187
Cebpz,12607
Chd1,12648
Bcl6b,12029
Anxa8,11752
Plppr4,229791
Ctf1,13019
Oscar,232790
Tcf7l2,21416
Myocd,214384
Pdk4,27273
Cdh11,12552
Cdk6,12571
Cd5l,11801
Gtf2h1,14884
Vegfb,22340
