,TF,Target,Mode,PMID,TF_age,Tg_age
211,ARNTL,BHLHE40,Activation,19032342,Eumetazoa,Vertebrata
212,ARNTL,CRY1,Activation,22750052,Eumetazoa,Euk+Bac
213,ARNTL,CRY1,Unknown,17660446,Eumetazoa,Euk+Bac
214,ARNTL,CRY2,Activation,22750052,Eumetazoa,Euk+Bac
215,ARNTL,CRY2,Unknown,17660446,Eumetazoa,Euk+Bac
216,ARNTL,PER1,Activation,17994337;22750052,Eumetazoa,Eumetazoa
217,ARNTL,PER1,Unknown,17660446;21479263,Eumetazoa,Eumetazoa
218,ARNTL,PER2,Activation,22750052,Eumetazoa,Eumetazoa
219,ARNTL,PER2,Unknown,17660446,Eumetazoa,Eumetazoa
220,ARNTL,PER3,Activation,22750052,Eumetazoa,Eumetazoa
221,ARNTL2,SERPINE1,Activation,22198637,Eumetazoa,Cellular_organisms
222,ARX,KDM5C,Unknown,23246292,Eumetazoa,Eukaryota
223,ARX,LMO1,Unknown,23771350,Eumetazoa,Eumetazoa
224,ARX,PAX4,Unknown,23771350,Eumetazoa,Mammalia
225,ARX,SHOX2,Unknown,23771350,Eumetazoa,Eumetazoa
226,ASCL1,CHRNA3,Unknown,20124469,Eumetazoa,Eumetazoa
227,ASCL1,CHRNA5,Unknown,20124469,Eumetazoa,Eumetazoa
228,ASCL1,CHRNB4,Unknown,20124469,Eumetazoa,Eumetazoa
229,ASCL1,DKK1,Repression,19744316,Eumetazoa,Eumetazoa
230,ASCL1,IGF2,Repression,20842449,Eumetazoa,Eumetazoa
231,ASCL1,PCSK6,Repression,11736660,Eumetazoa,Euk+Bac
232,ASCL1,TPH1,Repression,19744316,Eumetazoa,Euk+Bac
233,ASH1L,TGFB1,Unknown,22488473,Vertebrata,Eumetazoa
234,ASH1L,TIMP1,Unknown,22488473,Vertebrata,Eumetazoa
235,ASXL1,FABP4,Unknown,21047783,Eumetazoa,Eumetazoa
236,ATF1,BCL2,Unknown,10542244,Eumetazoa,Opisthokonta
237,ATF1,CCNA1,Repression,12044952,Eumetazoa,Eukaryota
238,ATF1,CFTR,Activation,10075672,Eumetazoa,Vertebrata
239,ATF1,CGA,Unknown,10341006,Eumetazoa,Vertebrata
240,ATF1,CYP11B1,Unknown,11014212;11196473,Eumetazoa,Cellular_organisms
241,ATF1,CYP11B2,Unknown,11196473,Eumetazoa,Euk+Bac
242,ATF1,ERBB2,Unknown,10698518,Eumetazoa,Opisthokonta
243,ATF1,FLT1,Unknown,7499271,Eumetazoa,Eumetazoa
244,ATF1,FTH1,Activation,17565989,Eumetazoa,Cellular_organisms
245,ATF1,FTH1,Repression,17565989,Eumetazoa,Cellular_organisms
246,ATF1,GABPA,Unknown,10585419,Eumetazoa,Eumetazoa
247,ATF1,IL10,Activation,10540320,Eumetazoa,Vertebrata
248,ATF1,LDHA,Unknown,9632793,Eumetazoa,Cellular_organisms
249,ATF1,MAP1LC3B,Activation,20514020,Eumetazoa,Mammalia
250,ATF1,MITF,Activation,12966428,Eumetazoa,Eumetazoa
251,ATF1,MITF,Unknown,20068147,Eumetazoa,Eumetazoa
252,ATF1,MUC2,Unknown,16227528,Eumetazoa,Eumetazoa
253,ATF1,NTS,Unknown,7791794,Eumetazoa,Vertebrata
254,ATF1,PCSK1,Activation,8999965,Eumetazoa,Eumetazoa
255,ATF1,PLAUR,Unknown,12369939,Eumetazoa,Mammalia
256,ATF1,SLC20A1,Activation,11722845,Eumetazoa,Cellular_organisms
257,ATF1,SLC22A8,Unknown,16809478,Eumetazoa,Euk+Bac
258,ATF1,TGFB2,Activation,11776974,Eumetazoa,Eumetazoa
259,ATF1,TH,Unknown,11108136,Eumetazoa,Eumetazoa
260,ATF1,TOP2A,Unknown,12104051,Eumetazoa,Eukaryota
261,ATF1,USP7,Unknown,7642633,Eumetazoa,Eukaryota
262,ATF2,APOC3,Activation,9760243,Opisthokonta,Mammalia
263,ATF2,ATF3,Activation,10979959;20581861;8576171,Opisthokonta,Eumetazoa
264,ATF2,CCND1,Activation,10464245;10915780,Opisthokonta,Eukaryota
265,ATF2,CDKN1A,Unknown,10506225,Opisthokonta,Eumetazoa
266,ATF2,CYP11B1,Unknown,11014212;11196473,Opisthokonta,Cellular_organisms
267,ATF2,CYP11B2,Unknown,11196473,Opisthokonta,Euk+Bac
268,ATF2,DUSP1,Unknown,17681939,Opisthokonta,Eukaryota
269,ATF2,DUSP10,Unknown,17681939,Opisthokonta,Eukaryota
270,ATF2,FAS,Unknown,19670268,Opisthokonta,Eumetazoa
271,ATF2,FASLG,Unknown,19670268;9710625,Opisthokonta,Vertebrata
272,ATF2,FN1,Unknown,10471826,Opisthokonta,Eukaryota
273,ATF2,KAT5,Repression,18397884,Opisthokonta,Eukaryota
274,ATF2,IFNB1,Activation,17496231,Opisthokonta,Vertebrata
275,ATF2,IFNB1,Unknown,10848607,Opisthokonta,Vertebrata
276,ATF2,IFNG,Activation,12836278;18641343;20006311;20304822,Opisthokonta,Vertebrata
277,ATF2,IMPDH2,Unknown,9278455,Opisthokonta,Cellular_organisms
278,ATF2,INS,Activation,21278380,Opisthokonta,Vertebrata
279,ATF2,INS,Unknown,10909971,Opisthokonta,Vertebrata
280,ATF2,ITGB8,Unknown,21878622,Opisthokonta,Vertebrata
281,ATF2,JUN,Activation,9502786,Opisthokonta,Eumetazoa
282,ATF2,MAP3K1,Unknown,9710625,Opisthokonta,Eumetazoa
283,ATF2,MMP2,Activation,17079470;17258390,Opisthokonta,Eumetazoa
284,ATF2,NOS3,Repression,16497991,Opisthokonta,Euk+Bac
285,ATF2,PCK1,Activation,12453892,Opisthokonta,Cellular_organisms
286,ATF2,PCK2,Unknown,11042264,Opisthokonta,Cellular_organisms
287,ATF2,PLAT,Activation,8647095,Opisthokonta,Eukaryota
288,ATF2,PLAU,Unknown,10454570,Opisthokonta,Eukaryota
289,ATF2,POLB,Activation,10518804,Opisthokonta,Cellular_organisms
290,ATF2,PTGS2,Unknown,11278336;12057991,Opisthokonta,Eukaryota
